Date,sentiment_mean,sentiment_median,sentiment_std,n_news,pos_ratio,neg_ratio,neu_ratio
2011-01-31,0.0,0.0,,1,0.0,0.0,1.0
2011-02-01,0.25,0.0,0.5,4,0.25,0.0,0.75
2011-02-02,0.0,0.0,,1,0.0,0.0,1.0
2011-02-03,0.999998152256012,0.999998152256012,2.275929819588278e-06,2,1.0,0.0,0.0
2011-02-04,0.0,0.0,0.0,2,0.0,0.0,1.0
2011-02-09,0.0,0.0,,1,0.0,0.0,1.0
2011-02-14,0.0,0.0,0.0,3,0.0,0.0,1.0
2011-02-15,0.33329856395721436,0.0,0.5772900468636403,3,0.3333333333333333,0.0,0.6666666666666666
2011-02-16,-0.9968587160110474,-0.9968587160110474,,1,0.0,1.0,0.0
2011-02-18,-0.41255682706832886,-0.41255682706832886,0.5834434600896423,2,0.0,0.5,0.5
2011-02-23,0.9999974966049194,0.9999974966049194,,1,1.0,0.0,0.0
2011-02-24,0.0,0.0,,1,0.0,0.0,1.0
2011-02-28,-0.31811092297236127,0.0,0.5509842810307592,3,0.0,0.3333333333333333,0.6666666666666666
2011-03-01,-0.49998939037323,-0.49998939037323,0.7070917769084777,2,0.0,0.5,0.5
2011-03-04,0.0,0.0,0.0,2,0.0,0.0,1.0
2011-03-08,0.0,0.0,0.0,2,0.0,0.0,1.0
2011-03-09,0.49997538328170776,0.49997538328170776,0.7070719678896775,2,0.5,0.0,0.5
2011-03-10,0.0,0.0,0.0,2,0.0,0.0,1.0
2011-03-11,0.0,0.0,0.0,2,0.0,0.0,1.0
2011-03-14,0.0,0.0,,1,0.0,0.0,1.0
2011-03-15,0.0,0.0,,1,0.0,0.0,1.0
2011-03-16,0.499916672706604,0.499916672706604,0.7069889385981111,2,0.5,0.0,0.5
2011-03-17,-0.49197760224342346,-0.49197760224342346,0.6957613974764455,2,0.0,0.5,0.5
2011-03-23,-0.9979774355888367,-0.9979774355888367,,1,0.0,1.0,0.0
2011-03-29,0.0,0.0,,1,0.0,0.0,1.0
2011-03-30,0.0,0.0,,1,0.0,0.0,1.0
2011-03-31,0.0,0.0,0.0,2,0.0,0.0,1.0
